ID,repoID,reponame,gedcom,addressID,changedate,changedby
404,REPO38,http:/www.Genealogy.com,Earlylds,0,"2007-02-10 10:34:36",Larry
405,REPO39,http://www.rootsweb.com,Earlylds,0,"2007-02-10 10:34:36",Larry
406,REPO40,"U.S. Department of Veterans Affairs",Earlylds,145,"2007-02-10 10:34:36",Larry
407,REPO41,http://vitals.rootsweb.com/ca/death/search.cgi,Earlylds,0,"2007-02-10 10:34:36",Larry
408,REPO42,http://www.georgetownhistoricalsociety.com/GtGen/johnspofford.html.,Earlylds,0,"2007-02-10 10:34:36",Larry
409,REPO43,"Massachusetts State Archives",Earlylds,146,"2007-02-10 10:34:36",Larry
410,REPO44,http://www.rootsweb.com/~moatchis/Kathleen/kathleen.html,Earlylds,0,"2007-02-10 10:34:36",Larry
411,REPO45,http://www.infouga.org,Earlylds,0,"2007-02-10 10:34:36",Larry
412,REPO46,http://patriot.lib.byu.edu/cdm4/document.php?CISOEOOR=FH9&CISOPTR=77071,Earlylds,0,"2007-02-10 10:34:36",Larry
413,REPO47,http://www.cyberdriveillinois.com/departments/archives/databases/marriage.html,Earlylds,0,"2014-10-20 13:41:28",Larry
414,REPO48,http://iagenweb.org/madison/,Earlylds,0,"2014-10-20 13:49:23",Larry
415,REPO49,http://mormonhistoricsites.org/wp-content/uploads/2013/05/MHS2.1Ward.pdf,Earlylds,0,"2014-10-23 15:36:12",Larry
416,REPO50,"http://glorecords.blm.gov/patent search/",Earlylds,0,"2007-02-10 10:34:36",Larry
417,REPO51,"Pioneer Research Library at the Trail Center at Historic Winter Quarters",Earlylds,148,"2009-05-24 00:35:35",foxgen
418,REPO52,http://www.isdar.org/chapters/nancymckayharsh/history.html,Earlylds,0,"2013-06-21 12:29:32",FoxGen
462,REPO160003,"Pioneer Resource Library at Mormon Trail Center at Historic Winter Quarters",Earlylds,180,"2015-04-22 15:22:46",Larry
461,REPO160002,familysearch.org,Earlylds,0,"2015-04-22 15:22:46",Larry
460,REPO160001,http://www.lds.org,Earlylds,0,"2015-04-22 15:22:46",Larry
