PARCEL_ID	FULLTEXT	TYPE	TOWN	PLAT	BLOCK	LOT	BLM	RANGE	TOWNSHIP	SECTION	PART	DESCRIP	AREA
40	Nauvoo:Kimball:2:55::Beginning corner Ripley-Warsaw streets; East 84 feet on Ripley; South to Isaac Morton land; West to Warsaw; North 24 feet 9 inches to beginning.	town	Nauvoo	Kimball	2	55						Beginning corner Ripley-Warsaw streets; East 84 feet on Ripley; South to Isaac Morton land; West to Warsaw; North 24 feet 9 inches to beginning.	
41	Nauvoo:Wells:16:3::Commence 21 feet West of Southeast corner Lot 3: West 21 feet on Mulholland Street; North 10 Rods; East 21 feet; South to beginning.	town	Nauvoo	Wells	16	3						Commence 21 feet West of Southeast corner Lot 3: West 21 feet on Mulholland Street; North 10 Rods; East 21 feet; South to beginning.	
42	Nauvoo:Nauvoo:159:4:East/2 fractional Lot:	town	Nauvoo	Nauvoo	159	4					East/2 fractional Lot		
43	Nauvoo:Nauvoo:139:4::Commence 30 feet South of Northwest corner Lot 4; South 15 feet; East to East line; North 15 feet; West to beginning.	town	Nauvoo	Nauvoo	139	4						Commence 30 feet South of Northwest corner Lot 4; South 15 feet; East to East line; North 15 feet; West to beginning.	
44	Nauvoo:Wells:24:2::Commence 27 feet from Northeast corner Lot 2; South 90 feet; West 23 feet; North 90 feet; East 23 feet to beginning.	town	Nauvoo	Wells	24	2						Commence 27 feet from Northeast corner Lot 2; South 90 feet; West 23 feet; North 90 feet; East 23 feet to beginning.	
45	Nauvoo:Nauvoo:126:4:South/4:	town	Nauvoo	Nauvoo	126	4					South/4		
46	Northeast/4 S11 T6 North R8 West 4th PM: 	plss					4th PM	8 West	6 North	11	Northeast/4		
47	Nauvoo:Nauvoo:126:4:South/4:	town	Nauvoo	Nauvoo	126	4					South/4		
48	Southeast/4 S6 T6 North R8 West 4th PM: Beginning Southwest corner Southeast/4 Section 6; North 34 ½ Rods; East 20 Rods; down center of Creek parallel with beginning; West to beginning corner 12 Rods (Warrington, Blocks 1 and 40).	plss					4th PM	8 West	6 North	6	Southeast/4	Beginning Southwest corner Southeast/4 Section 6; North 34 ½ Rods; East 20 Rods; down center of Creek parallel with beginning; West to beginning corner 12 Rods (Warrington, Blocks 1 and 40).	1/2
49	Southwest/4 S6 T6 North R8 West 4th PM: Commence 42 Rods 14 links West of Southeast corner; North 34 Rods 8 ¼ feet to beginning corner; thence North 23 ½ Rods; Southeasterly 7 Rods; South 18 Rods parallel with beginning; part of land William Casper purchased of James Robison.	plss					4th PM	8 West	6 North	6	Southwest/4	Commence 42 Rods 14 links West of Southeast corner; North 34 Rods 8 ¼ feet to beginning corner; thence North 23 ½ Rods; Southeasterly 7 Rods; South 18 Rods parallel with beginning; part of land William Casper purchased of James Robison.	146 square Rods
50	Nauvoo:Nauvoo:125:2::Commence 125 feet from Northwest corner of saidl Lot on Main Street; South 45 feet 3 inches; East 25 feet; North 45 feet 3 inches; West 25 feet.	town	Nauvoo	Nauvoo	125	2						Commence 125 feet from Northwest corner of saidl Lot on Main Street; South 45 feet 3 inches; East 25 feet; North 45 feet 3 inches; West 25 feet.	
51	Northwest/4 S32 T7 North R8 West 4th PM: Beginning center North line Northwest/4 Section 32; South 40 Rods; West 16 Rods; North 40 Rods; East 16 Rods to beginning.	plss					4th PM	8 West	7 North	32	Northwest/4	Beginning center North line Northwest/4 Section 32; South 40 Rods; West 16 Rods; North 40 Rods; East 16 Rods to beginning.	
52	Nauvoo:Kimball:6:25 and 28::Beginning 26 Rods North of Southeast corner Lot 25; East 3 Rods; North 7 Rods; West 11 Rods; South 7 Rods; East 8 Rods to beginning.	town	Nauvoo	Kimball	6	25 and 28						Beginning 26 Rods North of Southeast corner Lot 25; East 3 Rods; North 7 Rods; West 11 Rods; South 7 Rods; East 8 Rods to beginning.	
53	Nauvoo:Kimball:3:1::Commence 3 Rods South of Northwest corner; South 13 Rods 5 ½ feet; East to East line; North 13 Rods 5 ½ feet; West to beginning (Tustees to eect house of woship for use of Methodist Episcopal Church).	town	Nauvoo	Kimball	3	1						Commence 3 Rods South of Northwest corner; South 13 Rods 5 ½ feet; East to East line; North 13 Rods 5 ½ feet; West to beginning (Tustees to eect house of woship for use of Methodist Episcopal Church).	
54	Nauvoo:Kimball:6:25:South/2:Commence Southeast corner said Lot; North to corner land of Albe; West 132 feet to corner of Albe land; South 306 feet; West to West line; South to Southwest corner; East to beginning. South of Parley Street.	town	Nauvoo	Kimball	6	25					South/2	Commence Southeast corner said Lot; North to corner land of Albe; West 132 feet to corner of Albe land; South 306 feet; West to West line; South to Southwest corner; East to beginning. South of Parley Street.	
55	Nauvoo:Kimball:3:13::Beginning Northeast corner of said Lot; South to center Hotchkiss Street; West 10 Rods to West line of said Lot; North to Northwest corner; East 10 Rods to beginning.	town	Nauvoo	Kimball	3	13						Beginning Northeast corner of said Lot; South to center Hotchkiss Street; West 10 Rods to West line of said Lot; North to Northwest corner; East 10 Rods to beginning.	3/4
56	Nauvoo:Nauvoo:150:4::Except 50 feet East/West by 58 feet North/South in Southeast corner of said Lot.	town	Nauvoo	Nauvoo	150	4						Except 50 feet East/West by 58 feet North/South in Southeast corner of said Lot.	
57	Northwest/4 S27 T7 North R8 West 4th PM: Commence Southeast corner Southwest/4 Northwest/4 Section 27; West to Jackson land supposed to be 55 Rods; North far enough to include 7 Acres; East and South to beginning.	plss					4th PM	8 West	7 North	27	Northwest/4	Commence Southeast corner Southwest/4 Northwest/4 Section 27; West to Jackson land supposed to be 55 Rods; North far enough to include 7 Acres; East and South to beginning.	7
58	Nauvoo:Wells:16:4::Commence 104 feet West of Southeast corner said Lot and 44 feet 10 inches North of North line of Mulholland Street; North 9 Rods 22 inches; West 20 feet; South 9 Rods 22 inches; the 20 feet to beginning. Aothe part of said Lot 4 bounded as follows: beginning at a point on the South line said Lot and on North line Mulholland Street 104 feet West of Southeast corner; North 44 feet 10 inches; West 20 feet; South 44 feet 10 inches; East 20 feet to beginning. Also part of said Lot: commence 124 feet West of Southeast Corner; North 11 Rods; West 4 feet; South 11 Rods; East to beginning.	town	Nauvoo	Wells	16	4						Commence 104 feet West of Southeast corner said Lot and 44 feet 10 inches North of North line of Mulholland Street; North 9 Rods 22 inches; West 20 feet; South 9 Rods 22 inches; the 20 feet to beginning. Aothe part of said Lot 4 bounded as follows: beginning at a point on the South line said Lot and on North line Mulholland Street 104 feet West of Southeast corner; North 44 feet 10 inches; West 20 feet; South 44 feet 10 inches; East 20 feet to beginning. Also part of said Lot: commence 124 feet West of Southeast Corner; North 11 Rods; West 4 feet; South 11 Rods; East to beginning.	
59	Nauvoo:Wells:12:2::(4) Commence 59 1/2 feet East of Northwest corner Lot 2; East 59 1/2 feet; South 2 3/4 Rods, West 59 1/2 feet; North 2 3/4 Rods to beginning. 	town	Nauvoo	Wells	12	2						(4) Commence 59 1/2 feet East of Northwest corner Lot 2; East 59 1/2 feet; South 2 3/4 Rods, West 59 1/2 feet; North 2 3/4 Rods to beginning. 	
60	Nauvoo:Kimball:2:70:: Commence Northeast corner Young and Arlington streets; East 38 feet; North 6 Rods 13 feet 10 inches; West 38 feet; South 6 Rods 13 feet 10 inches to beginning on Young Street on North line said Lot.	town	Nauvoo	Kimball	2	70						 Commence Northeast corner Young and Arlington streets; East 38 feet; North 6 Rods 13 feet 10 inches; West 38 feet; South 6 Rods 13 feet 10 inches to beginning on Young Street on North line said Lot.	
61	Nauvoo:Nauvoo:147:1:East/2:	town	Nauvoo	Nauvoo	147	1					East/2		
62	Nauvoo:Wells:16:4::Commence 104 feet West of Southeast corner said Lot and 44 feet 10 inches North of North line Mulholland Street; 9 Rods 22 inches North; West 2 feet; South 9 Rods 22 inches; &quot;South 9 Rods to beginning. Also part of said Lot 4 bounded as follows: beginning at point on South line said Lot and on the North line of Mulholland Street; 104 feet West of Southeast corner said Lot; North 44 feet 10 inches; West 20 feet; South 44 feet 10 inches; East to place of beginning. Also part of same Lot: commence 104 feet West of Southeast corner said Lot; North 11 Rods; West 4 feet; South 11 Rods; East to beginning.	town	Nauvoo	Wells	16	4						Commence 104 feet West of Southeast corner said Lot and 44 feet 10 inches North of North line Mulholland Street; 9 Rods 22 inches North; West 2 feet; South 9 Rods 22 inches; &quot;South 9 Rods to beginning. Also part of said Lot 4 bounded as follows: beginning at point on South line said Lot and on the North line of Mulholland Street; 104 feet West of Southeast corner said Lot; North 44 feet 10 inches; West 20 feet; South 44 feet 10 inches; East to place of beginning. Also part of same Lot: commence 104 feet West of Southeast corner said Lot; North 11 Rods; West 4 feet; South 11 Rods; East to beginning.	
63	Nauvoo:Wells:12:2 ::Commence at a point 59 1/2 feet East of Northwest corner said Lot; East along North line said Lot 59 1/2 feet; South 2 3/4 Rods; West 59 1/2 feet; North 2 3/4 Rods to beginning.	town	Nauvoo	Wells	12	2 						Commence at a point 59 1/2 feet East of Northwest corner said Lot; East along North line said Lot 59 1/2 feet; South 2 3/4 Rods; West 59 1/2 feet; North 2 3/4 Rods to beginning.	
64	Nauvoo:Kimball:2:70::Commence at Northeast corner Young and Arlington streets; East 38 feet; North 6 Rods 13 feet 10 inches; West 38 feet; South 6 Rods 13 feet 10 inches to beginning.	town	Nauvoo	Kimball	2	70						Commence at Northeast corner Young and Arlington streets; East 38 feet; North 6 Rods 13 feet 10 inches; West 38 feet; South 6 Rods 13 feet 10 inches to beginning.	
65	Nauvoo:Nauvoo:146:4::Commence Southwest corner said Lot parallel with West line; East 32 feet; North to line said Lot; West 32 feet to West line; South to beginning.	town	Nauvoo	Nauvoo	146	4						Commence Southwest corner said Lot parallel with West line; East 32 feet; North to line said Lot; West 32 feet to West line; South to beginning.	
66	Nauvoo:Kimball:6:25:North/2:cornering Southeast with John E. Royce and commencing in center Lot 25 on East line; North 8 Rods; West 25 feet; North to center Kimball Street; East 25 feet front on said street; the South to beginning.	town	Nauvoo	Kimball	6	25					North/2	cornering Southeast with John E. Royce and commencing in center Lot 25 on East line; North 8 Rods; West 25 feet; North to center Kimball Street; East 25 feet front on said street; the South to beginning.	
67	Nauvoo:Kimball:6:25:North/2:Commence Southeast with John E. Royce at a store in center said Lot in East line; North 8 Rods; West 25 feet; South to center Kimball Street; East 25 feet front in said street which will be boundary line said Lot; South to starting point.	town	Nauvoo	Kimball	6	25					North/2	Commence Southeast with John E. Royce at a store in center said Lot in East line; North 8 Rods; West 25 feet; South to center Kimball Street; East 25 feet front in said street which will be boundary line said Lot; South to starting point.	
68	Nauvoo:Barnett:7:3::	town	Nauvoo	Barnett	7	3							
69	Nauvoo:Kimball:4:50::Commence Northwest corner Lot 50; running South 14 Rods 8 feet; East 8 Rods 14 feet; North 7 Rods 7 1/2 feet; nearly Northwest 11 Rods 6 feet to beginning.	town	Nauvoo	Kimball	4	50						Commence Northwest corner Lot 50; running South 14 Rods 8 feet; East 8 Rods 14 feet; North 7 Rods 7 1/2 feet; nearly Northwest 11 Rods 6 feet to beginning.	
70	Nauvoo:Kimball:4:50::Commence Northwest Corner Lot 50; South 14 Rods 8 feet; East 8 Rods 14 feet; North 7 Rods 7 1/2; nearly Northwest 11 Rods 6 feet to beginning.	town	Nauvoo	Kimball	4	50						Commence Northwest Corner Lot 50; South 14 Rods 8 feet; East 8 Rods 14 feet; North 7 Rods 7 1/2; nearly Northwest 11 Rods 6 feet to beginning.	
71	Nauvoo:Nauvoo:146:3::Commence 24 feet 9 inches West from Southeast corner Lot 3; North 100 feet; West 22 feet 9 inches; South 100 feet; East 22 feet 9 inches to beginning.	town	Nauvoo	Nauvoo	146	3						Commence 24 feet 9 inches West from Southeast corner Lot 3; North 100 feet; West 22 feet 9 inches; South 100 feet; East 22 feet 9 inches to beginning.	
72	Nauvoo:Kimball:6:35:North/2:Commence Southwest corner North/2 of Lot 35; Eastwardly couse to middle of — Street; North as may Rods to contain a acre by running West parallel with division line of William Blackhust from Aldidge and back agai to Southwest corner.	town	Nauvoo	Kimball	6	35					North/2	Commence Southwest corner North/2 of Lot 35; Eastwardly couse to middle of — Street; North as may Rods to contain a acre by running West parallel with division line of William Blackhust from Aldidge and back agai to Southwest corner.	
73	Nauvoo:Kimball:6:35:North/2:	town	Nauvoo	Kimball	6	35					North/2		
74	Nauvoo:Kimball:6:35:North/2:	town	Nauvoo	Kimball	6	35					North/2		
75	Nauvoo:Kimball:6:35 :North/2:Commence Northwest corner Thomas Rawcliff Lot; East on the dwelling line 20 Rods; North 8 Rods; West 20 Rods; South 8 Rods to beginning.	town	Nauvoo	Kimball	6	35 					North/2	Commence Northwest corner Thomas Rawcliff Lot; East on the dwelling line 20 Rods; North 8 Rods; West 20 Rods; South 8 Rods to beginning.	
76	Nauvoo:Kimball:6:35:North Part of North/2:Commence Northwest corner; South 8 Rods; East 20 Rods; North 8 Rods; West 20 Rods to place of beginning.	town	Nauvoo	Kimball	6	35					North Part of North/2	Commence Northwest corner; South 8 Rods; East 20 Rods; North 8 Rods; West 20 Rods to place of beginning.	
77	Nauvoo:Kimball:6:35::	town	Nauvoo	Kimball	6	35							
78	South/2 Northwest/4 S27 T7 North R8 West 4th PM: Beginning Southwest corner of Thomas Rackliffs land; North in said Rockliff and Rington Line, 82 Rods; West 41 Rods; South 82 Rods; East to beginning.	plss					4th PM	8 West	7 North	27	South/2 Northwest/4	Beginning Southwest corner of Thomas Rackliffs land; North in said Rockliff and Rington Line, 82 Rods; West 41 Rods; South 82 Rods; East to beginning.	21
79	Northwest/4 S27 T7 North R8 West 4th PM: Beginning 27 Rods North of Southwest corner Northwest/4 Section 27; North to middle said quarter; East 84 Rods; South 62 1/2 Rods; West 54 Rods; North 6 1/2 Rods; West 30 Rods to beginning.	plss					4th PM	8 West	7 North	27	Northwest/4	Beginning 27 Rods North of Southwest corner Northwest/4 Section 27; North to middle said quarter; East 84 Rods; South 62 1/2 Rods; West 54 Rods; North 6 1/2 Rods; West 30 Rods to beginning.	30
80	South/2 Northwest/4 S27 T7 North R8 West 4th PM: Beginning Northeast corner of South/2 of Northwest/4 Section 27; West 40 Rods; South 40 Rods; East 40 Rods; North 40 Rods to beginning.	plss					4th PM	8 West	7 North	27	South/2 Northwest/4	Beginning Northeast corner of South/2 of Northwest/4 Section 27; West 40 Rods; South 40 Rods; East 40 Rods; North 40 Rods to beginning.	10
81	Northwest/4 S27 T7 North R8 West 4th PM: 5 Acres and 10 Rods in Southwest corner of Northwest/4 Section 27; Commence Southwest corner, measuring 30 Rods East and from that point 27 Rods North; 30 Rods West, 27 Rods to Southwest corner.	plss					4th PM	8 West	7 North	27	Northwest/4	5 Acres and 10 Rods in Southwest corner of Northwest/4 Section 27; Commence Southwest corner, measuring 30 Rods East and from that point 27 Rods North; 30 Rods West, 27 Rods to Southwest corner.	5 Acres 10 Rods
82	Northwest/4 S27 T7 North R8 West 4th PM: Commence Southeast corner; 37 1/2 Rods West; 42 3/4 Rods North; 37 1/2 Rods East; 42 3/4 Rods to Southeast corner section.	plss					4th PM	8 West	7 North	27	Northwest/4	Commence Southeast corner; 37 1/2 Rods West; 42 3/4 Rods North; 37 1/2 Rods East; 42 3/4 Rods to Southeast corner section.	10
83	Part Northwest/4 S7 T6 North R5 West 4th PM: Commence Northwest corner said quarter; East 110 Rods; South 16 Rods; West 42 Rods; Southwesterly with Carthage road 100 Rods; North 85 Rods to beginning.	plss					4th PM	5 West	6 North	7	Part Northwest/4	Commence Northwest corner said quarter; East 110 Rods; South 16 Rods; West 42 Rods; Southwesterly with Carthage road 100 Rods; North 85 Rods to beginning.	30
84	Nauvoo:Nauvoo:79:2::Beginning 30 feet from Northeast corner Lot 2; West 119 feet; South 915 feet; West 49 1/2 feet; South 45 feet 9 inches; East 10 Rods 3 feet; North 137 Rods 14 feet to beginning.	town	Nauvoo	Nauvoo	79	2						Beginning 30 feet from Northeast corner Lot 2; West 119 feet; South 915 feet; West 49 1/2 feet; South 45 feet 9 inches; East 10 Rods 3 feet; North 137 Rods 14 feet to beginning.	
85	Nauvoo:Nauvoo:79:2::	town	Nauvoo	Nauvoo	79	2							
86	Nauvoo:Nauvoo:79:2::West/2 of Northwest/4 of Lot 2; being Northwest corner said Lot; fronting on Young Street 49 ½ feet; 90 ½ on the South street.	town	Nauvoo	Nauvoo	79	2						West/2 of Northwest/4 of Lot 2; being Northwest corner said Lot; fronting on Young Street 49 ½ feet; 90 ½ on the South street.	
87	Nauvoo:Nauvoo:106:4::	town	Nauvoo	Nauvoo	106	4							
88	Nauvoo:Kimball Second:9:3::	town	Nauvoo	Kimball Second	9	3							
89	South/2 Northwest/4 S9 T7 North R7 West 4th PM: 	plss					4th PM	7 West	7 North	9	South/2 Northwest/4		
90	Northeast/4  S4 T5 North R8 West 4th PM: 	plss					4th PM	8 West	5 North	4	Northeast/4 		
91	Southeast/4 Northwest/4 S4 T5 North R8 West 4th PM: 	plss					4th PM	8 West	5 North	4	Southeast/4 Northwest/4		40
92	Northwest/4 S15 T6 North R8 West 4th PM: 	plss					4th PM	8 West	6 North	15	Northwest/4		160
93	Northeast corner Southeast/4 S31 T6 North R8 West 4th PM: 	plss					4th PM	8 West	6 North	31	Northeast corner Southeast/4		1
94	Northeast/4 Southeast/4 S6 T5 North R8 West 4th PM: 	plss					4th PM	8 West	5 North	6	Northeast/4 Southeast/4		40
95	Northeast/4 S6 T5 North R8 West 4th PM: Commence Southwest corner said Northeast/4; East 80 Rods; North 30 Rods; West 80 Rods; South 30 Rods to beginning.	plss					4th PM	8 West	5 North	6	Northeast/4	Commence Southwest corner said Northeast/4; East 80 Rods; North 30 Rods; West 80 Rods; South 30 Rods to beginning.	
96	Nauvoo:Kimball:6:31:East/2 South/2:	town	Nauvoo	Kimball	6	31					East/2 South/2		
97	Nauvoo:Kimball:6:31::Corner Lot 31; along Lumber Street East 20 Rods;….South 8 ½ Rods to beginning. Bounded South by Lumber Street; East by Cole´s land; North by Allen´s; West by Clark´s.	town	Nauvoo	Kimball	6	31						Corner Lot 31; along Lumber Street East 20 Rods;….South 8 ½ Rods to beginning. Bounded South by Lumber Street; East by Cole´s land; North by Allen´s; West by Clark´s.	
98	Nauvoo:Kimball:6:31::Except one acre sold to Bullock and which is described in said power of attorney (contains 3 acres plus or minus).	town	Nauvoo	Kimball	6	31						Except one acre sold to Bullock and which is described in said power of attorney (contains 3 acres plus or minus).	3
99	Nauvoo:Kimball:6:31:South/2:	town	Nauvoo	Kimball	6	31					South/2		
100	Nauvoo:Nauvoo:121:4::Beginning 50 feet East of Southwest corner Lot 4; East 45 feet; North across Lot; West 45 feet, thence to beginning.	town	Nauvoo	Nauvoo	121	4						Beginning 50 feet East of Southwest corner Lot 4; East 45 feet; North across Lot; West 45 feet, thence to beginning.	
101	Nauvoo:Kimball:2:72::Beginning Southwest corner Lot 72; East on Young Street 45 feet; North across said Lot; West 45 feet; South to beginning.	town	Nauvoo	Kimball	2	72						Beginning Southwest corner Lot 72; East on Young Street 45 feet; North across said Lot; West 45 feet; South to beginning.	
102	Nauvoo:Nauvoo:106:2:South/4:	town	Nauvoo	Nauvoo	106	2					South/4		
103	Part Southeast S25 T7 North R8 West 4th PM: 	plss					4th PM	8 West	7 North	25	Part Southeast		100
104	Nauvoo:Nauvoo:125:3:West/2:Being corner Main and Parley streets.	town	Nauvoo	Nauvoo	125	3					West/2	Being corner Main and Parley streets.	
105	Nauvoo:Nauvoo:106:1::	town	Nauvoo	Nauvoo	106	1							
106	Nauvoo:Nauvoo:106:2:South/4:	town	Nauvoo	Nauvoo	106	2					South/4		
107	Nauvoo:Hibbard:9:2::meaning to convey eastern half.	town	Nauvoo	Hibbard	9	2						meaning to convey eastern half.	one half tract
108	Nauvoo:Hibbard:9:2:East/2:	town	Nauvoo	Hibbard	9	2					East/2		
109	East side East/2 Northwest/4 S32 T4 North R7 West 4th PM: 	plss					4th PM	7 West	4 North	32	East side East/2 Northwest/4		40
110	Northeast/4 S26 T5 North R7 West 4th PM: 	plss					4th PM	7 West	5 North	26	Northeast/4		160
111	Northeast/4 S32 T4 North R7 West 4th PM: 	plss					4th PM	7 West	4 North	32	Northeast/4		
112	Nauvoo:Hibbard Second:8:1 and 4::	town	Nauvoo	Hibbard Second	8	1 and 4							
113	Nauvoo:Hibbard:9:2::	town	Nauvoo	Hibbard	9	2							
114	Northeast/4 S26 T5 North R7 West 4th PM: 	plss					4th PM	7 West	5 North	26	Northeast/4		
115	Part Southwest/4 S8 T6 North R7 West 4th PM: Commence Southwest corner East/2 Southwest/4 Section 8; North 80 Rods; East 30 Rods; South 80 Rods; West 30 Rods to beginning.	plss					4th PM	7 West	6 North	8	Part Southwest/4	Commence Southwest corner East/2 Southwest/4 Section 8; North 80 Rods; East 30 Rods; South 80 Rods; West 30 Rods to beginning.	
